ticker,name,n_obs,n_post,level_shift_pct,level_shift_ci95_lo,level_shift_ci95_hi,slope_change_pct_per_day,slope_change_ci95_lo,slope_change_ci95_hi,p_post,p_t_post,r_squared
ALLT.TA,Allot,863,516,-18.02,-27.34,-7.49,0.7432,0.6868,0.7996,0.0013,0.0,0.822
FORTY.TA,Formula Systems,863,516,-6.37,-11.61,-0.83,0.247,0.2198,0.2742,0.0248,0.0,0.796
NICE.TA,Nice,863,516,21.66,12.75,31.28,-0.1798,-0.2109,-0.1486,0.0,0.0,0.822
TA35.TA,TA-35,860,513,-11.51,-14.07,-8.87,0.2207,0.2086,0.2328,0.0,0.0,0.963
TA90.TA,TA-90,860,513,-5.7,-9.71,-1.5,0.2583,0.2418,0.2748,0.0083,0.0,0.941
